rule,start,end,minutes,peak,roof_max,side_max,shade_min,lights_max,open_delay_min,reaction,attribution,fog_during_s_per_min,fog_after_s_per_min
overtemp,2026-08-25 17:59:00,2026-08-25 18:02:00,4,45.1,100.0,100.0,0.0,4.0,5.0,as prescribed,ambiguous: opening may be the scheduled program,,
overtemp,2026-08-26 14:12:00,2026-08-26 15:08:00,57,49.0,50.0,100.0,0.0,2.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-08-27 12:41:00,2026-08-27 15:10:00,150,52.4,25.0,100.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-08-29 14:43:00,2026-08-29 15:21:00,39,47.9,0.0,0.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-08-30 14:22:00,2026-08-30 15:09:00,48,50.6,100.0,50.0,0.0,2.0,42.0,late (42 min),ambiguous: opening may be the scheduled program,,
overtemp,2026-08-31 14:22:00,2026-08-31 15:05:00,44,48.5,50.0,100.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-09-01 14:13:00,2026-09-01 14:26:00,14,45.1,0.0,0.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-09-01 16:56:00,2026-09-01 17:34:00,39,45.9,0.0,0.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-09-02 11:47:00,2026-09-02 18:25:00,399,49.7,0.0,0.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-09-03 13:12:00,2026-09-03 18:46:00,335,50.8,0.0,0.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-09-04 11:26:00,2026-09-04 16:33:00,308,54.3,0.0,50.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-09-04 16:38:00,2026-09-04 17:00:00,23,45.4,0.0,50.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-09-04 17:04:00,2026-09-04 19:02:00,119,49.8,0.0,0.0,0.0,0.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-09-05 12:12:00,2026-09-05 17:53:00,342,56.4,0.0,0.0,0.0,8.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-09-06 14:30:00,2026-09-06 15:07:00,38,50.1,25.0,50.0,0.0,6.0,,no reaction (vents never opened),clean evidence the rule did NOT act,,
overtemp,2026-09-07 11:42:00,2026-09-07 19:04:00,443,53.2,,,,,,no actuator data,clean evidence the rule did NOT act,,
condensation,2026-08-06 07:49:00,2026-08-06 10:45:00,177,100.0,,,,,,fog off,,12.3,0.0
condensation,2026-08-12 07:28:00,2026-08-12 09:32:00,125,100.0,,,,,,fog still on,,6.0,5.0
condensation,2026-08-17 07:43:00,2026-08-17 09:01:00,79,100.0,,,,,,fog off,,4.2,0.0
condensation,2026-08-18 08:28:00,2026-08-18 08:52:00,25,100.0,,,,,,fog off,,0.0,0.0
condensation,2026-08-20 22:46:00,2026-08-20 23:35:00,50,100.0,,,,,,fog off,,5.4,0.0
condensation,2026-08-23 22:18:00,2026-08-23 23:34:00,77,100.0,,,,,,fog off,,10.3,0.0
condensation,2026-08-24 07:28:00,2026-08-24 11:54:00,267,100.0,,,,,,fog still on,,9.1,3.0
condensation,2026-08-25 22:07:00,2026-08-25 23:21:00,75,100.0,,,,,,fog off,,13.6,0.0
condensation,2026-08-26 09:31:00,2026-08-26 10:19:00,49,100.0,,,,,,fog still on,,9.3,9.1
condensation,2026-08-26 10:35:00,2026-08-26 11:17:00,43,100.0,,,,,,fog off,,5.5,0.0
condensation,2026-08-26 22:18:00,2026-08-26 23:23:00,66,100.0,,,,,,fog off,,12.2,0.0
condensation,2026-09-05 06:37:00,2026-09-05 09:22:00,166,100.0,,,,,,fog off,,9.6,0.0
condensation,2026-09-06 19:00:00,2026-09-06 20:40:00,101,100.0,,,,,,no fog data,,18.9,
