run,block,cells_ok,cells,exact,mismatches,washout_clean,peak_temp,safety_hot
1,2026-08-16 00:00:00,7,7,True,,True,28.7,False
2,2026-08-16 03:00:00,7,7,True,,True,27.8,False
3,2026-08-16 06:00:00,7,7,True,,True,25.6,False
4,2026-08-16 09:00:00,7,7,True,,True,33.4,False
5,2026-08-16 12:00:00,7,7,True,,True,43.7,False
6,2026-08-16 15:00:00,7,7,True,,True,49.2,True
7,2026-08-16 18:00:00,7,7,True,,True,47.2,True
8,2026-08-16 21:00:00,7,7,True,,True,32.3,False
9,2026-08-17 00:00:00,7,7,True,,True,29.8,False
10,2026-08-17 03:00:00,7,7,True,,True,28.7,False
11,2026-08-17 06:00:00,7,7,True,,True,28.1,False
12,2026-08-17 09:00:00,7,7,True,,True,40.7,False
13,2026-08-17 12:00:00,7,7,True,,True,48.7,True
14,2026-08-17 15:00:00,7,7,True,,True,43.9,False
15,2026-08-17 18:00:00,7,7,True,,True,47.4,True
16,2026-08-17 21:00:00,7,7,True,,True,32.7,False
17,2026-08-18 00:00:00,7,7,True,,True,28.5,False
18,2026-08-18 03:00:00,7,7,True,,True,25.4,False
19,2026-08-18 06:00:00,7,7,True,,True,23.8,False
20,2026-08-18 09:00:00,7,7,True,,True,46.5,True
21,2026-08-18 12:00:00,7,7,True,,True,49.6,True
22,2026-08-18 15:00:00,7,7,True,,True,49.6,True
23,2026-08-18 18:00:00,7,7,True,,True,49.2,True
24,2026-08-18 21:00:00,7,7,True,,True,36.1,False
25,2026-08-19 00:00:00,7,7,True,,True,28.6,False
26,2026-08-19 03:00:00,7,7,True,,True,27.6,False
27,2026-08-19 06:00:00,7,7,True,,True,25.6,False
28,2026-08-19 09:00:00,7,7,True,,True,38.2,False
29,2026-08-19 12:00:00,7,7,True,,True,49.2,True
30,2026-08-19 15:00:00,4,7,False,"VENT_ROOF: want 0, got 100.0; VENT_SIDE: want 0, got 100.0; SHADE: want 100, got 0.0",True,54.7,True
31,2026-08-19 18:00:00,7,7,True,,True,44.4,False
32,2026-08-19 21:00:00,7,7,True,,True,33.7,False
